Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Austria,1998,101.522842639594,1,7937.016943446682,733.85,11905.6,23939.621666666662,463.95
Austria,1999,103.857868020305,1,7659.368320430148,1372.4166666666667,12006.835000000001,23944.827500833333,449.09999999999997
Austria,2000,100.0,1,7965.402535556291,1367.6833333333334,12036.49,23950.033333333336,351.2
Austria,2001,92.6903553299492,1,7776.059371367998,1365.1166666666666,12762.324999999999,23951.99166666667,353.5
Austria,2002,94.2131979695431,1,8602.65910853834,61718.42857142857,12809.625,23953.95,356.3
Austria,2003,89.1370558375635,1,9577.040752035153,64867.24285714286,13515.970000000001,23955.9083325,
Austria,2004,91.7766497461929,1,9191.822388806308,66755.48571428572,13738.38,22469.415383846153,
Austria,2005,93.9086294416244,1,9347.463286982738,69597.1,13859.619999999999,22485.838461538464,
Austria,2006,86.2944162436548,1,9573.036471251216,69341.55714285714,14046.26,22486.107692307694,
Austria,2007,83.3502538071066,1,9279.708273164926,69936.0,13731.435,22491.376923076925,
Austria,2008,80.3045685279188,1,9077.188724323587,71370.95714285715,13751.055,22501.10769230769,
Austria,2009,74.2131979695431,1,8418.237431678988,75133.75714285715,13430.115,22523.06923,
Austria,2010,71.3705583756345,1,8725.460817314311,77995.32142857143,14052.07,22543.953846153847,200.6
Austria,2011,68.7309644670051,1,8532.46397564549,77719.39,13552.435,22545.35230769231,0.0
Austria,2012,69.746192893401,1,8369.037373046569,77196.43142857144,13706.045,22543.750770000002,0.0
Austria,2013,63.9593908629442,1,8719.601077605304,76261.51142857142,13992.71,22537.456923076923,0.0
Austria,2014,60.7106598984772,1,7949.088271482514,76052.61857142857,13481.17,22538.316923076924,454.882
Austria,2015,63.8578680203046,1,8619.889816200946,79855.89714285715,13792.675,22561.330769230768,0.0
Austria,2016,59.2893401015228,1,8435.217261506661,82600.3,14142.25,20982.191429285715,101.65
Austria,2017,61.6243654822335,1,8961.345194852005,89623.12142857142,14248.175000000001,22618.40461615385,100.8425
Austria,2018,56.0406091370558,1,9099.819312922267,92256.81285714285,14059.53,22634.75692384615,101.435
Austria,2019,62.4365482233503,1,9529.07574694246,96914.11857142857,14275.26,22662.00153923077,9.200000000000001
Austria,2020,62.6395939086294,1,8347.94540759061,98096.37428571428,13538.91,22670.553846153845,0.0
Austria,2021,61.4213197969543,1,8858.479541089053,1098.895,14354.875,22673.335384615384,106.1875
Belgium,1990,128.575,2,20355.691736019806,714.6800000000001,16360.814999999999,,0.010526315789473684
Belgium,1991,124.53,2,20811.344337064897,713.6,17334.42,,0.0
Belgium,1992,120.78999999999999,2,20233.585876082023,706.02,17611.975,,0.0
Belgium,1993,117.32,2,19627.321601272924,716.4399999999999,17440.710000000003,,0.0
Belgium,1994,114.125,2,20215.948872472454,739.98,19057.83,,46.33846153846154
Belgium,1995,111.18,2,20931.96428794778,731.74,19518.155000000002,,49.93999999999999
Belgium,1996,108.465,2,20930.02014704098,616.6899999999999,20754.265,,37.27058823529412
Belgium,1997,105.945,2,19870.4051250068,610.165,20484.77,,37.470588235294116
Belgium,1998,103.715,2,20510.737591253655,617.98,20721.96,,37.370588235294115
Belgium,1999,101.785,2,19690.756788920302,626.4250000000001,20803.405,,37.3764705882353
Belgium,2000,100.0,2,19830.75009612202,631.1883333333334,21297.18,8163.750083333333,659.7032630266667
Belgium,2001,98.215,2,20119.210811294713,613.08,21753.795000000002,8165.63925,604.8958614133334
Belgium,2002,96.38,2,20069.6017828804,4684.104285714287,20638.4,8167.528333333333,586.9718175977778
Belgium,2003,94.555,2,19657.014903334628,3943.128571428572,21324.719999999998,8169.417582500001,574.8394466555557
Belgium,2004,92.77,2,21217.997684016285,3910.657142857143,21499.885,7561.052384615385,570.6496993044444
Belgium,2005,91.05000000000001,2,19805.803125117167,3803.957142857143,21465.945,7563.257692307693,556.4168720133333
Belgium,2006,89.47,2,19450.885229357693,4704.728571428571,20919.975000000002,7568.232384615385,573.31174518
Belgium,2007,88.05000000000001,2,19017.916724297742,5175.114285714286,20301.71,7573.1299992307695,551.8466874244444
Belgium,2008,86.665,2,19459.060376086385,5680.085714285714,21598.02,7577.258461538461,547.4803578911111
Belgium,2009,85.205,2,17813.15634385386,6434.733285714286,20058.86,7583.271615384616,536.1193598244445
Belgium,2010,83.625,2,18862.856860079515,7510.423285714286,21744.204999999998,7590.900077692308,530.0726719044445
Belgium,2011,81.995,2,16228.962823683352,8402.766857142857,20161.275,7598.689230769231,451.26800097872336
Belgium,2012,80.345,2,17039.493138305697,9029.250285714286,20399.73,7599.016923076923,442.05897985531914
Belgium,2013,78.71000000000001,2,17001.704491616685,9425.817571428572,21293.63,7601.113846923077,401.43244760625
Belgium,2014,77.1,2,16179.836053265577,10029.226142857142,20308.49,7604.287691538461,392.71897693958334
Belgium,2015,75.50999999999999,2,16782.467793767857,10333.559571428572,20893.975,7605.846154615385,328.19764381041665
Belgium,2016,73.95,2,16573.540260338454,11718.951000000001,21065.225,7610.403153846153,385.38512240625
Belgium,2017,72.425,2,16494.11441148887,12432.544714285714,20778.954999999998,7126.748571428571,366.97804045416666
Belgium,2018,70.92,2,16594.970382379503,13230.547857142858,21043.935,7649.593846923077,344.371209575
Belgium,2019,69.435,2,16504.468010706856,13817.106857142859,20431.02,7650.087922307692,370.65282162499994
Belgium,2020,67.975,2,15204.240896535342,14671.027942857143,19388.829999999998,7651.763308461538,330.6370871520833
Canada,1990,123.82846138048049,2,76926.89890225146,31995.028000000002,80869.23999999999,3098296.0833334164,
Canada,1991,122.7261918058955,2,75910.96488479602,33361.308,80322.63,3098256.7308335,
Canada,1992,120.878987248731,2,79039.73818825997,32960.968,81877.225,3098217.411666333,
Canada,1993,118.4921326939085,2,82292.35553438705,33302.588,83967.54000000001,3098178.0341668334,
Canada,1994,116.166170043345,2,83899.79869084348,33693.71,87025.93000000001,3098138.6566664167,
Canada,1995,113.270291596557,2,85320.38906862919,33344.878,88909.69499999999,3098099.3616669164,10633.373307988888
Canada,1996,110.534119283277,2,87107.53072620156,45652.90666666667,91932.62,3098060.068333,
Canada,1997,107.6535538893355,2,88751.89629682977,245772.08166666667,93033.04000000001,3098020.6074992497,
Canada,1998,104.8794592510655,2,88983.75441108899,495729.375,90806.45999999999,3097981.313334083,
Canada,1999,102.14328693778549,2,90633.70919952435,695435.655,94026.62,3097941.9358329163,
Canada,2000,100.0,2,94450.87305108756,502110.0142857143,92897.405,3097902.5583326668,
Canada,2001,98.52544308768795,2,92222.264332813,539407.8314285714,89743.5,3098329.6425001663,
Canada,2002,97.89463538720406,2,95532.99158243701,587357.6057142857,94339.24,3098756.958333167,
Canada,2003,98.4266288584389,2,97485.33354699766,723224.0042857144,97853.855,3099184.158333833,
Canada,2004,98.920700004684,2,97229.45263451719,861576.9628571429,98909.535,2861596.5615378465,
Canada,2005,99.3691922995161,2,96983.55586297845,931824.3114285714,98705.26,2862019.292307692,1132.2923076923075
Canada,2006,99.0804061381922,2,95020.70730950702,978231.2914285715,97045.55,2862434.169230846,
Canada,2007,97.7199765079754,2,97166.13017781332,1100427.5871428573,99963.625,2862790.430769692,797.6066666666667
Canada,2008,96.30631149992254,2,94800.49435647338,1196683.5271428572,98191.31499999999,2863240.3846153845,
Canada,2009,95.0446960989547,2,87315.40866127313,1292789.1557142858,93836.965,2863692.492308077,821.47775
Canada,2010,93.62337456447875,2,91170.57573729187,1393143.1642857143,96190.705,2864086.753846077,
Canada,2011,92.7493595540839,2,92551.7316356805,1627504.84,99745.59000000001,2864586.846154077,885.0507142857142
Canada,2012,92.30086725925179,2,91708.97798751932,1797971.8442857142,99127.80500000001,2864975.553845846,
Canada,2013,91.8600314908428,2,93097.67268600229,1688764.23,100445.04999999999,2865397.107692769,935.9093333333333
Canada,2014,91.2748026417718,2,90893.22752341701,1807826.24,101109.195,2865818.1230764613,
Canada,2015,91.31272496676165,2,93286.37350937819,1727553.434285714,100855.745,2866243.6000003847,880.6073333333334
